name,location,cost,image1,image2,image3,number
Prodej bytu 3+1 76 m²,"Jahodová, Praha 10 - Záběhlice",6 900 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/n4qPC.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_ML/9tVSu.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/DosJC.jpeg?fl=res,400,300,3|shr,,20|jpg,90",172
Prodej bytu 1+kk 60 m²,"Jeřabinová, Praha 5 - Smíchov",4 500 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QL_J8/675Vir.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_MJ/IJJRNO.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Jr/NsNVoS.jpeg?fl=res,400,300,3|shr,,20|jpg,90",173
Prodej bytu 1+kk 73 m²,"Nepelova, Praha 9 - Hloubětín",4 880 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QK_Jr/26XSAq.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Km/lksBgrE.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_MJ/828Ngg.jpeg?fl=res,400,300,3|shr,,20|jpg,90",174
Prodej bytu 3+1 84 m²,"Písnická, Praha 4 - Kamýk",7 150 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QI_Jn/aUGBdBi.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J9/zrDBdAJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_KD/EfqBdHV.jpeg?fl=res,400,300,3|shr,,20|jpg,90",175
Prodej bytu 2+kk 65 m²,"Ústecká, Praha 8 - Dolní Chabry",6 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_LH/0ghB7Eu.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_MK/F7RB7UV.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/GEFB7Kn.jpeg?fl=res,400,300,3|shr,,20|jpg,90",176
Prodej bytu 1+kk 20 m²,"Gagarinova, Ústí nad Labem - Severní Terasa",1 580 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/IT9SSh.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/yFYR8N.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/KsUR8O.jpeg?fl=res,400,300,3|shr,,20|jpg,90",177
Prodej bytu 3+1 77 m²,"Purkyňova, Mladá Boleslav - Mladá Boleslav II",5 200 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/3xtR4l.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Kp/oOtSGf.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_LI/roZR4m.jpeg?fl=res,400,300,3|shr,,20|jpg,90",178
Prodej bytu 3+kk 157 m²,"Plotišťská, Hradec Králové - Věkoše",18 200 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QN_KD/UySCFPZ.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QI_Jn/xmiCFOY.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/WI3CFKM.jpeg?fl=res,400,300,3|shr,,20|jpg,90",179
Prodej bytu 2+1 63 m²,"Sečská, Praha 10 - Strašnice",5 800 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/7p0SLV.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_ML/EkgSUL.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Kp/at5SRH.jpeg?fl=res,400,300,3|shr,,20|jpg,90",180
Prodej bytu 3+kk 66 m²,"Dostalové, Praha 5 - Hlubočepy",10 900 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_K7/Y64CDC7.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J5/GYjB1EB.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Km/LHlCLI.jpeg?fl=res,400,300,3|shr,,20|jpg,90",301
